hire_ref;booked_on;depot;region;asset_ref;asset_name;hire_days;day_rate_gbp;account_ref;status;delivered
H106472;25/03/2024;Glasgow Depot;Scotland;SC-22;Scissor Lift 22ft;2;84.15;;completed;N
H106473;18/07/2023;Norwich Depot;East;CM-350;Concrete Mixer 350L;7;36.56;ACC0221;completed;Y
H106474;07/07/2023;Bristol Depot;South West;HD-BRK;Hydraulic Breaker;1;65.03;ACC0120;completed;Y
H106475;24/08/2024;Cardiff Depot;Wales;TL-01;Telehandler 4m;-5;195.27;ACC0086;cancelled;Y
H106476;15/05/2024;Glasgow Depot;Scotland;HD-BRK;Hydraulic Breaker;1;61.6;;completed;Y
H106477;18/07/2024;Norwich Depot;East;WP-02;Water Pump 2in;2;22.43;ACC0108;completed;Y
H106478;15/04/2024;Norwich Depot;East;CM-350;Concrete Mixer 350L;3;34.85;ACC0148;completed;Y
H106479;29/09/2023;Norwich Depot;East;EX-140;13T Excavator;2;296.66;ACC0254;completed;Y
H106480;27/07/2023;Norwich Depot;East;SC-22;Scissor Lift 22ft;2;75.93;ACC0199;completed;Y
H106481;14/03/2024;Norwich Depot;East;TL-01;Telehandler 4m;1;181.27;ACC0026;completed;Y
H106482;01/04/2023;Cardiff Depot;Wales;TL-01;Telehandler 4m;2;200.2;ACC0230;completed;N
H106483;21/06/2023;Cardiff Depot;Wales;CM-350;Concrete Mixer 350L;2;33.18;ACC0027;completed;Y
H106484;07/07/2023;Norwich Depot;East;PB-15;Powered Barrow;2;43.3;ACC0104;completed;N
H106485;29/08/2024;Glasgow Depot;Scotland;WP-02;Water Pump 2in;2;22.84;ACC0081;completed;Y
H106486;07/11/2024;Bristol Depot;South West;EX-140;13T Excavator;5;327.9;ACC0129;completed;Y
H106487;27/07/2023;Norwich Depot;East;WP-02;Water Pump 2in;2;23.07;;completed;N
H106488;26/08/2024;Bristol Depot;South West;TL-01;Telehandler 4m;2;193.55;ACC0027;completed;Y
H106489;04/05/2024;Cardiff Depot;Wales;PB-15;Powered Barrow;2;41.03;ACC0110;completed;Y
H106490;23/06/2024;Bristol Depot;South West;CM-350;Concrete Mixer 350L;3;35.86;ACC0245;completed;Y
H106491;15/05/2024;Bristol Depot;South West;GEN-60;60kVA Generator;2;91.97;ACC0119;completed;Y
H106492;26/10/2023;Glasgow Depot;Scotland;TL-01;Telehandler 4m;3;178.12;ACC0205;completed;Y
H106493;18/07/2024;Norwich Depot;East;GEN-60;60kVA Generator;2;94.97;ACC0141;completed;N
H106494;05/08/2023;Norwich Depot;East;SF-TOW;Site Tower Light;-2;55.93;;cancelled;N
H106495;07/01/2024;Cardiff Depot;Wales;WP-02;Water Pump 2in;1;23.52;;completed;Y
H106496;26/06/2024;Bristol Depot;South West;CM-350;Concrete Mixer 350L;2;32.58;ACC0140;open;Y
H106497;14/04/2023;Cardiff Depot;Wales;WP-02;Water Pump 2in;1;23.42;ACC0240;completed;Y
H106498;26/06/2023;Norwich Depot;East;PB-15;Powered Barrow;1;42.12;ACC0027;completed;Y
H106499;04/08/2023;Leeds Depot;North;SC-22;Scissor Lift 22ft;1;78.9;ACC0015;completed;Y
H106500;05/02/2024;Leeds Depot;North;GEN-60;60kVA Generator;1;90.88;;completed;Y
H106501;08/07/2023;Norwich Depot;East;GEN-60;60kVA Generator;3;98.05;ACC0061;completed;Y
H106502;04/09/2023;Leeds Depot;North;TL-01;Telehandler 4m;14;192.35;ACC0015;completed;N
H106503;25/07/2023;Norwich Depot;East;CM-350;Concrete Mixer 350L;14;36.09;ACC0100;completed;Y
H106504;09/05/2024;Leeds Depot;North;DM-09;Diesel Dumper 9T;5;136.08;ACC0170;completed;Y
H106505;14/01/2024;Cardiff Depot;Wales;CM-350;Concrete Mixer 350L;2;33.19;ACC0127;completed;Y
H106506;26/07/2023;Glasgow Depot;Scotland;TL-01;Telehandler 4m;3;200.34;ACC0096;completed;Y
H106507;18/07/2023;Glasgow Depot;Scotland;WP-02;Water Pump 2in;2;22.9;ACC0077;completed;Y
H106508;11/04/2023;Glasgow Depot;Scotland;WP-02;Water Pump 2in;1;23.77;ACC0245;completed;Y
H106509;31/03/2024;Bristol Depot;South West;PB-15;Powered Barrow;1;41.0;ACC0141;completed;Y
H106510;11/07/2023;Norwich Depot;East;HD-BRK;Hydraulic Breaker;1;67.02;ACC0093;completed;Y
H106511;13/04/2023;Cardiff Depot;Wales;GEN-60;60kVA Generator;1;88.94;ACC0161;completed;N
H106512;18/02/2024;Cardiff Depot;Wales;PB-15;Powered Barrow;28;41.21;ACC0204;completed;Y
H106513;03/10/2023;Glasgow Depot;Scotland;GEN-60;60kVA Generator;3;99.51;ACC0171;completed;Y
H106514;31/08/2023;Cardiff Depot;Wales;CM-350;Concrete Mixer 350L;3;31.9;ACC0180;completed;N
H106515;06/06/2023;Glasgow Depot;Scotland;DM-09;Diesel Dumper 9T;3;146.17;ACC0051;completed;Y
H106516;21/06/2023;Leeds Depot;North;WP-02;Water Pump 2in;3;22.74;ACC0059;open;N
H106517;10/07/2024;Bristol Depot;South West;CM-350;Concrete Mixer 350L;7;31.98;;completed;Y
H106518;27/11/2023;Glasgow Depot;Scotland;WP-02;Water Pump 2in;2;23.33;ACC0029;completed;Y
H106519;28/04/2024;Cardiff Depot;Wales;PB-15;Powered Barrow;14;40.89;;completed;Y
H106520;15/01/2024;Bristol Depot;South West;DM-09;Diesel Dumper 9T;1;147.33;ACC0211;completed;Y
H106521;19/02/2024;Glasgow Depot;Scotland;GEN-60;60kVA Generator;2;102.47;;completed;Y
H106522;23/08/2023;Leeds Depot;North;EX-140;13T Excavator;2;323.26;ACC0209;completed;Y
H106523;06/05/2024;Leeds Depot;North;DM-09;Diesel Dumper 9T;1;139.04;ACC0067;completed;N
H106524;05/08/2023;Norwich Depot;East;SC-22;Scissor Lift 22ft;1;73.48;ACC0178;completed;Y
H106525;30/04/2023;Glasgow Depot;Scotland;CM-350;Concrete Mixer 350L;1;36.08;ACC0159;completed;Y
H106526;12/12/2023;Glasgow Depot;Scotland;SF-TOW;Site Tower Light;3;55.75;ACC0003;completed;Y
H106527;08/05/2024;Cardiff Depot;Wales;WP-02;Water Pump 2in;14;22.81;ACC0078;completed;N
H106528;20/10/2023;Cardiff Depot;Wales;EX-140;13T Excavator;3;285.35;ACC0180;completed;Y
H106529;03/02/2024;Bristol Depot;South West;CM-350;Concrete Mixer 350L;7;36.68;ACC0101;completed;Y
H106530;14/04/2024;Bristol Depot;South West;SF-TOW;Site Tower Light;14;54.68;ACC0200;completed;Y
H106531;05/10/2023;Glasgow Depot;Scotland;DM-09;Diesel Dumper 9T;1;138.47;;completed;Y
H106532;24/01/2024;Bristol Depot;South West;GEN-60;60kVA Generator;14;94.81;;completed;N
H106533;27/07/2024;Bristol Depot;South West;SC-22;Scissor Lift 22ft;2;81.7;ACC0250;completed;N
H106534;03/03/2024;Cardiff Depot;Wales;WP-02;Water Pump 2in;2;24.16;ACC0013;completed;Y
H106535;27/08/2024;Bristol Depot;South West;WP-02;Water Pump 2in;1;21.36;ACC0069;completed;Y
H106536;29/03/2024;Glasgow Depot;Scotland;WP-02;Water Pump 2in;3;23.03;ACC0057;completed;Y
H106537;10/08/2024;Leeds Depot;North;SC-22;Scissor Lift 22ft;2;82.62;ACC0129;completed;Y
H106538;04/01/2024;Glasgow Depot;Scotland;DM-09;Diesel Dumper 9T;2;146.35;ACC0084;completed;N
H106539;24/04/2023;Bristol Depot;South West;GEN-60;60kVA Generator;1;103.48;ACC0228;completed;Y
H106540;10/11/2023;Leeds Depot;North;TL-01;Telehandler 4m;-1;176.15;ACC0027;cancelled;Y
H106541;12/04/2023;Bristol Depot;South West;SF-TOW;Site Tower Light;5;48.94;ACC0044;completed;Y
H106542;06/07/2023;Glasgow Depot;Scotland;SF-TOW;Site Tower Light;2;52.71;;completed;Y
H106543;05/08/2024;Glasgow Depot;Scotland;WP-02;Water Pump 2in;-7;21.5;ACC0047;cancelled;N
H106544;21/08/2024;Cardiff Depot;Wales;WP-02;Water Pump 2in;3;20.91;ACC0151;completed;Y
H106545;25/07/2024;Bristol Depot;South West;TL-01;Telehandler 4m;3;201.89;ACC0110;completed;N
H106546;17/10/2024;Bristol Depot;South West;TL-01;Telehandler 4m;1;176.32;ACC0111;completed;Y
H106547;14/10/2023;Bristol Depot;South West;SF-TOW;Site Tower Light;2;54.42;ACC0176;completed;Y
H106548;24/05/2024;Glasgow Depot;Scotland;PB-15;Powered Barrow;2;40.91;ACC0070;completed;Y
H106549;31/10/2023;Bristol Depot;South West;SC-22;Scissor Lift 22ft;-2;82.81;ACC0008;cancelled;Y
H106550;03/10/2024;Cardiff Depot;Wales;WP-02;Water Pump 2in;1;21.04;ACC0182;completed;Y
H106551;25/08/2024;Glasgow Depot;Scotland;WP-02;Water Pump 2in;2;23.39;ACC0018;completed;Y
H106552;17/10/2024;Bristol Depot;South West;GEN-60;60kVA Generator;-2;96.92;ACC0169;cancelled;Y
H106553;25/02/2024;Bristol Depot;South West;PB-15;Powered Barrow;2;39.56;ACC0112;completed;N
H106554;16/10/2023;Leeds Depot;North;SF-TOW;Site Tower Light;7;53.28;ACC0024;completed;N
H106555;23/07/2023;Leeds Depot;North;WP-02;Water Pump 2in;3;22.82;ACC0255;completed;Y
H106556;05/06/2023;Leeds Depot;North;SC-22;Scissor Lift 22ft;1;80.46;ACC0057;completed;Y
H106557;11/06/2024;Norwich Depot;East;WP-02;Water Pump 2in;1;22.17;ACC0165;completed;Y
H106558;13/12/2024;Norwich Depot;East;SC-22;Scissor Lift 22ft;1;74.43;ACC0002;completed;Y
H106559;20/01/2024;Leeds Depot;North;PB-15;Powered Barrow;7;38.92;ACC0046;completed;N
H106560;16/09/2023;Glasgow Depot;Scotland;SF-TOW;Site Tower Light;1;51.04;ACC0205;open;N
H106561;18/05/2023;Bristol Depot;South West;WP-02;Water Pump 2in;-2;21.06;ACC0212;cancelled;Y
H106562;01/08/2023;Leeds Depot;North;EX-140;13T Excavator;2;317.68;ACC0057;completed;Y
H106563;03/08/2023;Cardiff Depot;Wales;TL-01;Telehandler 4m;1;193.47;;completed;Y
H106564;02/07/2024;Cardiff Depot;Wales;SF-TOW;Site Tower Light;2;55.72;ACC0117;open;N
H106565;17/11/2023;Leeds Depot;North;TL-01;Telehandler 4m;1;175.22;ACC0189;completed;Y
H106566;09/12/2023;Norwich Depot;East;CM-350;Concrete Mixer 350L;3;33.65;ACC0109;completed;N
H106567;06/05/2023;Glasgow Depot;Scotland;GEN-60;60kVA Generator;7;103.04;ACC0214;completed;Y
H106568;15/05/2024;Norwich Depot;East;CM-350;Concrete Mixer 350L;1;36.52;;completed;Y
H106569;28/07/2024;Leeds Depot;North;GEN-60;60kVA Generator;7;92.6;ACC0087;completed;Y
H106570;15/11/2024;Leeds Depot;North;CM-350;Concrete Mixer 350L;5;36.45;ACC0124;completed;Y
H106571;29/06/2023;Bristol Depot;South West;HD-BRK;Hydraulic Breaker;2;60.04;ACC0197;completed;Y
H106572;23/04/2024;Glasgow Depot;Scotland;CM-350;Concrete Mixer 350L;7;32.45;ACC0041;completed;Y
H106573;17/05/2024;Leeds Depot;North;GEN-60;60kVA Generator;1;90.35;ACC0208;completed;Y
H106574;07/10/2024;Glasgow Depot;Scotland;SC-22;Scissor Lift 22ft;2;72.6;ACC0116;completed;Y
H106575;20/06/2023;Bristol Depot;South West;PB-15;Powered Barrow;28;38.62;ACC0221;completed;Y
H106576;07/08/2023;Bristol Depot;South West;CM-350;Concrete Mixer 350L;3;34.23;ACC0129;completed;N
H106577;13/04/2023;Bristol Depot;South West;CM-350;Concrete Mixer 350L;3;34.47;ACC0248;completed;Y
H106578;16/02/2024;Leeds Depot;North;DM-09;Diesel Dumper 9T;2;156.57;ACC0134;completed;Y
H106579;19/04/2023;Glasgow Depot;Scotland;WP-02;Water Pump 2in;1;22.43;ACC0034;completed;Y
H106580;09/04/2024;Leeds Depot;North;HD-BRK;Hydraulic Breaker;5;64.96;ACC0070;completed;Y
H106581;27/04/2024;Norwich Depot;East;SF-TOW;Site Tower Light;2;52.27;ACC0010;completed;N
H106582;30/06/2024;Cardiff Depot;Wales;TL-01;Telehandler 4m;7;184.05;ACC0110;completed;Y
H106583;02/06/2024;Leeds Depot;North;DM-09;Diesel Dumper 9T;2;139.67;ACC0162;completed;Y
H106584;09/01/2024;Glasgow Depot;Scotland;SF-TOW;Site Tower Light;3;51.04;ACC0250;completed;Y
H106585;25/07/2023;Leeds Depot;North;SC-22;Scissor Lift 22ft;1;80.09;ACC0171;completed;Y
H106586;25/08/2023;Glasgow Depot;Scotland;WP-02;Water Pump 2in;-5;21.32;ACC0225;cancelled;Y
H106587;04/11/2024;Leeds Depot;North;PB-15;Powered Barrow;2;43.73;ACC0031;completed;Y
H106588;30/07/2023;Glasgow Depot;Scotland;CM-350;Concrete Mixer 350L;2;31.46;ACC0110;completed;Y
H106589;13/12/2023;Glasgow Depot;Scotland;PB-15;Powered Barrow;2;41.32;ACC0179;completed;Y
H106590;31/10/2023;Leeds Depot;North;CM-350;Concrete Mixer 350L;3;34.0;ACC0160;completed;Y
H106591;09/06/2024;Norwich Depot;East;GEN-60;60kVA Generator;1;103.43;ACC0041;open;N
H106592;23/07/2024;Cardiff Depot;Wales;TL-01;Telehandler 4m;2;174.01;ACC0239;completed;Y
H106593;15/06/2024;Leeds Depot;North;SF-TOW;Site Tower Light;5;52.13;ACC0236;completed;N
H106594;05/05/2024;Norwich Depot;East;DM-09;Diesel Dumper 9T;3;133.95;ACC0053;completed;Y
H106595;21/07/2024;Norwich Depot;East;DM-09;Diesel Dumper 9T;2;153.08;ACC0196;completed;N
H106596;01/04/2024;Norwich Depot;East;GEN-60;60kVA Generator;1;99.5;ACC0135;completed;Y
H106597;07/04/2023;Leeds Depot;North;DM-09;Diesel Dumper 9T;2;143.98;ACC0189;completed;Y
H106598;27/01/2024;Glasgow Depot;Scotland;HD-BRK;Hydraulic Breaker;1;59.11;ACC0116;completed;Y
H106599;11/02/2024;Cardiff Depot;Wales;DM-09;Diesel Dumper 9T;1;140.16;ACC0066;completed;Y
H106600;15/12/2024;Leeds Depot;North;TL-01;Telehandler 4m;2;180.0;ACC0192;completed;Y
H106601;30/04/2023;Glasgow Depot;Scotland;GEN-60;60kVA Generator;1;97.91;ACC0043;completed;Y
H106602;21/08/2024;Cardiff Depot;Wales;SC-22;Scissor Lift 22ft;1;80.17;ACC0158;completed;Y
H106603;26/01/2024;Cardiff Depot;Wales;SF-TOW;Site Tower Light;7;48.92;;completed;N
H106604;26/07/2024;Cardiff Depot;Wales;HD-BRK;Hydraulic Breaker;7;65.92;ACC0108;completed;Y
H106605;14/12/2023;Bristol Depot;South West;SC-22;Scissor Lift 22ft;3;77.5;ACC0061;completed;Y
H106606;16/09/2024;Norwich Depot;East;SF-TOW;Site Tower Light;1;49.26;ACC0063;completed;Y
H106607;09/04/2023;Norwich Depot;East;CM-350;Concrete Mixer 350L;7;32.08;ACC0044;completed;Y
H106608;15/07/2023;Cardiff Depot;Wales;GEN-60;60kVA Generator;14;101.4;ACC0166;completed;Y
H106609;10/10/2024;Glasgow Depot;Scotland;SF-TOW;Site Tower Light;3;51.0;;completed;Y
H106610;07/01/2024;Cardiff Depot;Wales;HD-BRK;Hydraulic Breaker;14;63.06;ACC0089;completed;Y
H106611;16/06/2024;Cardiff Depot;Wales;SF-TOW;Site Tower Light;2;52.37;ACC0175;completed;N
H106612;28/08/2023;Glasgow Depot;Scotland;SC-22;Scissor Lift 22ft;1;73.33;;completed;Y
H106613;02/08/2023;Glasgow Depot;Scotland;DM-09;Diesel Dumper 9T;2;141.16;ACC0256;completed;Y
H106614;28/12/2023;Norwich Depot;East;HD-BRK;Hydraulic Breaker;-3;60.61;ACC0253;cancelled;Y
H106615;17/12/2024;Norwich Depot;East;DM-09;Diesel Dumper 9T;3;156.13;ACC0207;completed;Y
H106616;13/04/2023;Leeds Depot;North;CM-350;Concrete Mixer 350L;2;32.77;ACC0198;completed;N
H106617;10/12/2024;Bristol Depot;South West;GEN-60;60kVA Generator;2;103.51;ACC0042;completed;Y
H106618;03/12/2024;Leeds Depot;North;SC-22;Scissor Lift 22ft;3;82.41;ACC0142;completed;Y
H106619;27/01/2024;Norwich Depot;East;CM-350;Concrete Mixer 350L;5;31.82;ACC0053;completed;Y
H106620;18/12/2023;Leeds Depot;North;SC-22;Scissor Lift 22ft;1;75.82;ACC0122;completed;Y
H106621;21/01/2024;Norwich Depot;East;CM-350;Concrete Mixer 350L;2;33.41;;completed;Y
H106622;09/07/2023;Leeds Depot;North;PB-15;Powered Barrow;2;37.85;ACC0205;completed;Y
H106623;28/04/2023;Norwich Depot;East;CM-350;Concrete Mixer 350L;1;34.25;ACC0245;completed;Y
H106624;22/10/2023;Glasgow Depot;Scotland;HD-BRK;Hydraulic Breaker;7;66.3;ACC0151;completed;Y
H106625;27/06/2023;Cardiff Depot;Wales;WP-02;Water Pump 2in;14;22.72;ACC0121;completed;Y
H106626;18/08/2023;Norwich Depot;East;WP-02;Water Pump 2in;2;22.12;ACC0019;completed;Y
H106627;15/09/2023;Leeds Depot;North;TL-01;Telehandler 4m;3;176.9;ACC0224;completed;N
H106628;11/04/2024;Glasgow Depot;Scotland;SF-TOW;Site Tower Light;7;49.32;ACC0077;completed;Y
H106629;13/10/2024;Norwich Depot;East;GEN-60;60kVA Generator;1;98.72;ACC0041;completed;N
H106630;30/04/2024;Glasgow Depot;Scotland;DM-09;Diesel Dumper 9T;5;143.21;;completed;Y
H106631;23/04/2024;Glasgow Depot;Scotland;HD-BRK;Hydraulic Breaker;2;68.51;ACC0140;completed;Y
H106632;01/12/2024;Norwich Depot;East;DM-09;Diesel Dumper 9T;-1;138.23;ACC0178;cancelled;N
H106633;20/06/2023;Norwich Depot;East;WP-02;Water Pump 2in;3;21.57;ACC0067;completed;Y
H106634;11/12/2023;Glasgow Depot;Scotland;EX-140;13T Excavator;1;327.07;ACC0153;completed;Y
H106635;16/05/2024;Cardiff Depot;Wales;CM-350;Concrete Mixer 350L;5;34.26;ACC0015;completed;Y
H106636;02/08/2023;Leeds Depot;North;CM-350;Concrete Mixer 350L;1;36.23;ACC0239;completed;Y
H106637;13/11/2023;Bristol Depot;South West;HD-BRK;Hydraulic Breaker;1;60.75;ACC0197;completed;Y
H106638;16/04/2023;Norwich Depot;East;HD-BRK;Hydraulic Breaker;1;62.25;ACC0234;completed;Y
H106639;21/06/2023;Leeds Depot;North;SF-TOW;Site Tower Light;5;54.55;ACC0152;completed;N
H106640;04/08/2023;Leeds Depot;North;PB-15;Powered Barrow;14;38.44;ACC0058;completed;N
H106641;17/09/2024;Norwich Depot;East;CM-350;Concrete Mixer 350L;-7;34.11;ACC0193;cancelled;N
H106642;29/02/2024;Glasgow Depot;Scotland;SC-22;Scissor Lift 22ft;3;81.93;;completed;Y
H106643;24/07/2023;Cardiff Depot;Wales;HD-BRK;Hydraulic Breaker;7;59.38;ACC0063;completed;N
H106644;28/05/2024;Norwich Depot;East;CM-350;Concrete Mixer 350L;5;36.33;ACC0097;completed;Y
H106645;30/06/2023;Cardiff Depot;Wales;HD-BRK;Hydraulic Breaker;1;69.08;ACC0115;completed;N
H106646;23/04/2024;Leeds Depot;North;DM-09;Diesel Dumper 9T;5;133.63;ACC0259;completed;Y
H106647;06/04/2023;Bristol Depot;South West;WP-02;Water Pump 2in;1;22.69;ACC0004;completed;N
H106648;23/10/2023;Norwich Depot;East;PB-15;Powered Barrow;1;43.82;ACC0062;completed;Y
H106649;28/01/2024;Cardiff Depot;Wales;WP-02;Water Pump 2in;5;24.28;ACC0005;completed;Y
H106650;28/01/2024;Norwich Depot;East;CM-350;Concrete Mixer 350L;7;32.3;ACC0051;completed;Y
H106651;12/11/2024;Bristol Depot;South West;SC-22;Scissor Lift 22ft;3;77.5;ACC0056;completed;Y
H106652;16/09/2024;Bristol Depot;South West;CM-350;Concrete Mixer 350L;1;34.54;ACC0124;completed;Y
H106653;06/08/2024;Leeds Depot;North;PB-15;Powered Barrow;3;40.77;ACC0095;completed;Y
H106654;01/05/2024;Cardiff Depot;Wales;CM-350;Concrete Mixer 350L;2;32.6;ACC0103;completed;N
H106655;28/04/2024;Glasgow Depot;Scotland;HD-BRK;Hydraulic Breaker;3;66.1;ACC0047;completed;N
H106656;07/01/2024;Norwich Depot;East;PB-15;Powered Barrow;3;43.85;ACC0167;completed;Y
H106657;21/04/2024;Bristol Depot;South West;SF-TOW;Site Tower Light;2;49.79;ACC0150;completed;Y
H106658;31/01/2024;Bristol Depot;South West;TL-01;Telehandler 4m;7;197.93;ACC0229;completed;Y
H106659;03/09/2024;Leeds Depot;North;SF-TOW;Site Tower Light;7;48.89;ACC0007;completed;Y
H106660;25/04/2023;Cardiff Depot;Wales;WP-02;Water Pump 2in;5;23.54;ACC0185;completed;Y
H106661;10/08/2023;Cardiff Depot;Wales;EX-140;13T Excavator;7;285.54;ACC0008;completed;Y
H106662;02/10/2023;Glasgow Depot;Scotland;EX-140;13T Excavator;28;298.38;ACC0123;completed;Y
H106663;06/04/2023;Norwich Depot;East;CM-350;Concrete Mixer 350L;5;32.76;ACC0213;completed;Y
H106664;14/08/2024;Leeds Depot;North;CM-350;Concrete Mixer 350L;2;35.39;ACC0087;completed;Y
H106665;17/10/2023;Norwich Depot;East;DM-09;Diesel Dumper 9T;1;140.19;ACC0135;completed;N
H106666;15/07/2023;Norwich Depot;East;CM-350;Concrete Mixer 350L;1;35.72;ACC0072;completed;Y
H106667;24/03/2024;Leeds Depot;North;DM-09;Diesel Dumper 9T;2;144.66;ACC0167;completed;N
H106668;12/07/2023;Bristol Depot;South West;CM-350;Concrete Mixer 350L;3;36.34;ACC0207;completed;Y
H106669;18/06/2024;Bristol Depot;South West;CM-350;Concrete Mixer 350L;1;34.01;ACC0256;completed;Y
H106670;25/02/2024;Norwich Depot;East;TL-01;Telehandler 4m;14;187.25;;completed;Y
H106671;14/10/2023;Bristol Depot;South West;CM-350;Concrete Mixer 350L;-7;33.3;ACC0150;cancelled;N
H106672;03/04/2024;Norwich Depot;East;WP-02;Water Pump 2in;7;22.28;;completed;N
H106673;09/12/2024;Norwich Depot;East;HD-BRK;Hydraulic Breaker;1;65.28;ACC0131;completed;Y
H106674;11/04/2024;Norwich Depot;East;WP-02;Water Pump 2in;7;22.88;ACC0131;completed;Y
H106675;15/11/2024;Bristol Depot;South West;WP-02;Water Pump 2in;7;23.04;ACC0027;completed;Y
H106676;04/05/2023;Norwich Depot;East;CM-350;Concrete Mixer 350L;5;35.33;ACC0176;completed;Y
H106677;07/05/2023;Leeds Depot;North;GEN-60;60kVA Generator;2;94.14;ACC0220;completed;Y
H106678;17/10/2024;Cardiff Depot;Wales;WP-02;Water Pump 2in;1;20.93;ACC0210;completed;Y
H106679;10/04/2023;Glasgow Depot;Scotland;SC-22;Scissor Lift 22ft;1;72.42;ACC0161;completed;Y
H106680;18/11/2024;Glasgow Depot;Scotland;PB-15;Powered Barrow;2;40.5;ACC0034;completed;Y
H106681;07/09/2024;Cardiff Depot;Wales;HD-BRK;Hydraulic Breaker;3;64.81;ACC0196;completed;Y
H106682;19/06/2024;Norwich Depot;East;WP-02;Water Pump 2in;2;22.35;ACC0027;completed;Y
H106683;25/12/2024;Bristol Depot;South West;GEN-60;60kVA Generator;3;91.31;ACC0149;completed;Y
H106684;10/08/2024;Norwich Depot;East;WP-02;Water Pump 2in;5;20.95;;completed;Y
H106685;14/09/2024;Norwich Depot;East;WP-02;Water Pump 2in;1;23.42;ACC0238;completed;Y
H106686;20/07/2023;Glasgow Depot;Scotland;PB-15;Powered Barrow;3;41.04;ACC0190;completed;Y
H106687;26/03/2024;Bristol Depot;South West;WP-02;Water Pump 2in;5;21.93;ACC0054;completed;Y
H106688;24/11/2024;Bristol Depot;South West;DM-09;Diesel Dumper 9T;5;154.13;ACC0218;completed;Y
H106689;13/10/2023;Norwich Depot;East;WP-02;Water Pump 2in;1;21.24;;completed;N
H106690;28/05/2024;Norwich Depot;East;SF-TOW;Site Tower Light;14;49.71;ACC0036;completed;Y
H106691;24/08/2024;Glasgow Depot;Scotland;WP-02;Water Pump 2in;-3;24.02;ACC0250;cancelled;Y
H106692;02/01/2024;Cardiff Depot;Wales;PB-15;Powered Barrow;3;37.87;ACC0075;completed;Y
H106693;19/08/2024;Bristol Depot;South West;SF-TOW;Site Tower Light;7;50.15;ACC0200;completed;Y
H106694;15/01/2024;Bristol Depot;South West;DM-09;Diesel Dumper 9T;5;142.3;ACC0073;completed;Y
H106695;22/04/2023;Norwich Depot;East;DM-09;Diesel Dumper 9T;3;147.01;ACC0230;completed;Y
H106696;31/08/2023;Cardiff Depot;Wales;CM-350;Concrete Mixer 350L;5;35.72;ACC0105;completed;Y
H106697;29/08/2024;Glasgow Depot;Scotland;SC-22;Scissor Lift 22ft;2;73.05;;completed;Y
H106698;25/11/2023;Leeds Depot;North;EX-140;13T Excavator;1;296.28;ACC0165;completed;Y
H106699;21/05/2024;Norwich Depot;East;GEN-60;60kVA Generator;5;102.79;ACC0139;completed;Y
H106700;03/10/2024;Bristol Depot;South West;DM-09;Diesel Dumper 9T;2;150.09;;completed;Y
H106701;23/08/2024;Norwich Depot;East;DM-09;Diesel Dumper 9T;3;142.16;;completed;Y
H106702;30/07/2023;Glasgow Depot;Scotland;HD-BRK;Hydraulic Breaker;1;64.55;ACC0039;completed;Y
H106703;21/06/2023;Norwich Depot;East;CM-350;Concrete Mixer 350L;14;35.3;ACC0214;completed;N
H106704;30/07/2024;Cardiff Depot;Wales;CM-350;Concrete Mixer 350L;28;34.01;ACC0133;completed;Y
H106705;03/10/2023;Glasgow Depot;Scotland;CM-350;Concrete Mixer 350L;7;35.37;ACC0018;completed;Y
H106706;09/05/2023;Leeds Depot;North;GEN-60;60kVA Generator;1;92.65;ACC0246;completed;Y
H106707;09/11/2023;Bristol Depot;South West;SC-22;Scissor Lift 22ft;1;75.73;ACC0170;completed;Y
H106708;07/04/2024;Glasgow Depot;Scotland;TL-01;Telehandler 4m;5;197.0;ACC0082;completed;N
H106709;22/10/2023;Leeds Depot;North;SC-22;Scissor Lift 22ft;3;75.43;ACC0154;completed;Y
H106710;27/01/2024;Glasgow Depot;Scotland;SC-22;Scissor Lift 22ft;-2;78.52;;cancelled;Y
H106711;15/06/2024;Cardiff Depot;Wales;WP-02;Water Pump 2in;5;23.15;ACC0257;completed;Y
H106712;27/12/2023;Cardiff Depot;Wales;WP-02;Water Pump 2in;2;23.12;ACC0212;completed;Y
H106713;26/03/2024;Cardiff Depot;Wales;PB-15;Powered Barrow;1;40.77;ACC0144;completed;Y
H106714;22/05/2023;Norwich Depot;East;GEN-60;60kVA Generator;1;98.3;ACC0250;completed;Y
H106715;01/05/2023;Norwich Depot;East;WP-02;Water Pump 2in;1;22.65;;completed;N
H106716;09/04/2024;Cardiff Depot;Wales;SC-22;Scissor Lift 22ft;28;78.09;ACC0147;completed;Y
H106717;04/06/2024;Norwich Depot;East;DM-09;Diesel Dumper 9T;14;134.18;ACC0147;completed;Y
H106718;04/06/2023;Glasgow Depot;Scotland;WP-02;Water Pump 2in;1;24.08;ACC0062;completed;Y
H106719;25/04/2023;Norwich Depot;East;WP-02;Water Pump 2in;1;24.28;ACC0256;completed;Y
H106720;11/06/2024;Bristol Depot;South West;SF-TOW;Site Tower Light;2;54.82;ACC0204;completed;Y
H106721;26/01/2024;Bristol Depot;South West;TL-01;Telehandler 4m;1;191.32;ACC0254;completed;Y
H106722;27/04/2023;Leeds Depot;North;CM-350;Concrete Mixer 350L;2;36.44;;open;Y
H106723;30/12/2024;Glasgow Depot;Scotland;GEN-60;60kVA Generator;1;91.32;ACC0119;completed;Y
